row_id,county_code,state,population,renter_occupied_households,pct_renter_occupied,evictions,rent_burden,pct_white,pct_af_am,pct_hispanic,pct_am_ind,pct_asian,pct_nh_pi,pct_multiple,pct_other,poverty_rate,rucc,urban_influence,economic_typology,pct_civilian_labor,pct_unemployment,pct_uninsured_adults,pct_uninsured_children,pct_adult_obesity,pct_adult_smoking,pct_diabetes,pct_low_birthweight,pct_excessive_drinking,pct_physical_inactivity,air_pollution_particulate_matter_value,homicides_per_100k,motor_vehicle_crash_deaths_per_100k,heart_disease_mortality_per_100k,pop_per_dentist,pop_per_primary_care_physician,pct_female,pct_below_18_years_of_age,pct_aged_65_years_and_older,pct_adults_less_than_a_high_school_diploma,pct_adults_with_high_school_diploma,pct_adults_with_some_college,pct_adults_bachelors_or_higher,birth_rate_per_1k,death_rate_per_1k
10,3cc65a1,e74aca3,963541,191320,50.311,6749,32.229,0.528536576,0.263288405,0.141233052,0.004929408,0.037375515,1.00E-04,0.023437188,0.001099868,17.115,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Nonspecialized,0.504,0.069,0.178,0.04,0.316,0.208,0.1,0.091,0.214,0.249,12.19399541,11.32,7.14,271,1519,1330,0.515,0.247,0.118,0.134730539,0.28243513,0.293413174,0.289421158,14.59426867,8.524992398
11,170b0b3,fb8cab1,2352,277,25.94,,21.172,0.965858166,0.012410696,0.003865301,0.009409871,0.002086666,0,0.0063693,0,4.165,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and does not contain a town of at least 2,500 residents",Farm-dependent,0.519,0.024,0.135,0.077,0.303,0.157,0.098,,0.179,0.32,10.11645004,,,243,2400,,0.494,0.177,0.275,0.117412935,0.377114428,0.325373134,0.180099502,7.8125,17.79513889
12,921795,1b0d913,7218,823,26.178,3,30.468,0.428117887,0.058903398,0.493400823,0.00079869,0.000788707,0,0.015814065,0.002176431,16.538,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",Mining-dependent,0.484,0.043,0.271,0.123,0.301,,0.118,0.08,,0.291,8.690780884,,23.8,293,3689,,0.497,0.233,0.202,0.199199199,0.362362362,0.341341341,0.097097097,11.60885004,13.65747064
13,7516a19,485e9af,244240,21112,22.737,512,31.793,0.795075988,0.116305792,0.05193793,0.003726981,0.015257641,9.99E-05,0.01477803,0.002817718,8.758,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Nonspecialized,0.467,0.057,0.206,0.054,0.29,0.204,0.104,0.08,0.2,0.246,11.85743885,3.39,18.44,251,1329,1320,0.516,0.248,0.138,0.115308151,0.269383698,0.310139165,0.305168986,12.24273369,8.606764622
14,5c62775,4cd9667,17882,1898,25.902,,23.007,0.740953734,0.004820675,0.160932531,0.010101414,0.066539316,0.000900126,0.011181565,0.00457064,4.139,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",Micropolitan adjacent to a small metro area,Nonspecialized,0.473,0.042,0.055,0.029,0.185,0.094,0.068,0.1,0.114,0.154,9.77350972,,,148,1010,580,0.496,0.233,0.157,0.02994012,0.107784431,0.219560878,0.642714571,10.25785543,6.31252642
15,acba287,4522abc,991145,195220,47.798,4190,30.317,0.403998355,0.435365279,0.07675718,0.001905889,0.06255329,0.00030093,0.016801918,0.00231716,12.916,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Nonspecialized,0.517,0.071,0.271,0.095,0.23,0.133,0.08,0.111,0.179,0.197,13.18857151,12.8,10.52,256,1610,1030,0.512,0.234,0.096,0.090727817,0.180458624,0.235294118,0.493519442,12.63221777,6.101172038
16,802a8ff,1646cf6,1218942,198288,35.131,3434,28.559,0.7956409,0.129331318,0.018421553,0.001011183,0.032347847,0.000200234,0.021435079,0.001611886,9.043,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Nonspecialized,0.52,0.053,0.125,0.039,0.275,0.192,0.092,0.08,0.191,0.249,14.09340676,6.63,7.37,278,1230,929,0.519,0.194,0.169,0.066331658,0.298492462,0.259296482,0.375879397,10.83000142,10.76269403
17,d5b0571,1646cf6,87762,11465,29.449,112,32.547,0.939076006,0.02318927,0.012896175,0.001698957,0.011117735,0.000298063,0.011227024,0.000496771,9.458,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Micropolitan adjacent to a large metro area,Mining-dependent,0.497,0.061,0.143,0.069,0.296,0.174,0.098,0.07,0.157,0.263,13.63801963,,17.21,253,2919,1890,0.507,0.183,0.161,0.114228457,0.43987976,0.221442886,0.224448898,9.985158733,10.17849324
18,51afca9,20d32fc,41839,3341,20.694,110,26.952,0.848957032,0.06517676,0.063747489,0.003498216,0.004107905,0,0.012413669,0.00209893,8.205,"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Nonspecialized,0.476,0.059,0.197,0.08,0.282,0.225,0.119,0.081,0.123,0.26,12.55677142,2.94,19.44,225,3480,2590,0.512,0.228,0.18,0.148554337,0.319042871,0.290129611,0.24227318,9.491951164,10.16822249
19,148eadd,1646cf6,17479,1801,22.804,12,30.329,0.968957893,0.005248377,0.011064415,0.001772696,0.003495598,0.000199179,0.007658447,0.001603394,11.567,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore adjacent to micro area and contains a town of 2,500-19,999 residents",Recreation,0.442,0.074,0.158,0.077,0.318,0.179,0.112,0.08,0.181,0.273,12.83388853,,16.14,242,3550,1929,0.496,0.214,0.204,0.12248996,0.479919679,0.239959839,0.157630522,10.09809579,12.06001154
20,58d1c1f,a952566,33020,4079,29.231,114,27.552,0.609130626,0.286307054,0.087615704,0.003959863,0.001386451,0,0.011301069,0.000299234,12.208,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",Manufacturing-dependent,0.492,0.067,0.239,0.107,0.356,0.214,0.129,0.1,0.152,0.307,12.02520356,7.66,30.94,272,3750,2219,0.51,0.212,0.199,0.197407777,0.398803589,0.216350947,0.187437687,11.50887395,12.29632322
21,802cc0d,8036085,7816,970,25.596,5,23.751,0.943271518,0.006121779,0.029872289,0.004867561,0.000497706,0.002717472,0.012651676,0,6.413,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore adjacent to micro area and does not contain a town of at least 2,500 residents",Recreation,0.546,0.046,0.284,0.194,0.229,0.128,0.077,,0.2,0.289,10.65134081,,37.35,206,7890,1529,0.487,0.166,0.231,0.058467742,0.360887097,0.317540323,0.263104839,6.581069746,9.290921995
22,93660a5,9dda412,10111,920,21.095,3,28.268,0.908087129,0.004633251,0.041007281,0.023878292,0.005916922,0,0.016477125,0,7.714,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore adjacent to micro area and contains a town of 2,500-19,999 residents",Farm-dependent,0.544,0.042,0.115,0.072,0.251,0.296,0.094,0.05,0.245,0.211,13.0259039,,23.3,206,2079,1280,0.49,0.23,0.194,0.095477387,0.366834171,0.374874372,0.16281407,10.40943789,10.6077129
23,ee532a9,5086a32,2318272,465328,56.318,,33.998,0.263295798,0.174250455,0.279476769,0.002200132,0.239974398,0.000400024,0.021621297,0.018781127,12.271,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Nonspecialized,0.494,0.064,0.25,0.058,0.228,0.132,0.093,0.08,0.146,0.277,10.76742605,3.49,5.07,254,1439,1519,0.513,0.207,0.131,0.196803197,0.272727273,0.227772228,0.302697303,13.1381882,6.081860085
24,0a4702d,e899d7f,13429,1034,18.362,10,32.843,0.557809351,0.430676671,0.003591882,9.98E-05,0,0,0.007722547,9.98E-05,16.789,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore adjacent to micro area and does not contain a town of at least 2,500 residents",Manufacturing-dependent,0.338,0.09,0.22,0.064,0.391,0.201,0.174,0.119,,0.378,12.79701166,,44.97,355,2289,2719,0.521,0.219,0.195,0.235235235,0.37037037,0.277277277,0.117117117,10.63909493,13.26140706
25,3566a99,158df01,537958,76931,33.949,3192,29.999,0.787563169,0.140931519,0.018353826,0.001880148,0.025357129,0.000198957,0.024531455,0.001183797,10.724,"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Nonspecialized,0.497,0.059,0.169,0.062,0.291,0.188,0.105,0.09,0.182,0.248,13.54078888,4.07,6.57,272,1720,1059,0.521,0.22,0.154,0.090270812,0.321965898,0.283851555,0.303911735,11.42597833,10.10333925
26,6b29733,6d287d7,37203,3480,29.053,,26.682,0.515341057,0.01951768,0.317654264,0.130308628,0.006405494,0.001305195,0.009066083,0.000401598,16.388,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area",Micropolitan not adjacent to a metro area,Federal/State government-dependent,0.377,0.073,0.199,0.132,0.338,0.163,0.108,0.08,0.139,0.261,9.25973876,4.47,21.55,247,1949,1950,0.467,0.279,0.119,0.152542373,0.328015952,0.3888335,0.130608175,16.94645557,7.266555282
27,9e8fcd3,8036085,4203,504,27.531,0,24.138,0.85524615,0,0.020992615,0.095353568,0,0,0.024780304,0.003627364,14.665,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and does not contain a town of at least 2,500 residents",Farm-dependent,0.48,0.054,0.321,0.191,0.264,0.16,0.084,,0.184,0.321,11.0588497,,39.6,236,4250,4250,0.51,0.214,0.21,0.088088088,0.374374374,0.345345345,0.192192192,15.10791367,15.10791367
28,f34b543,20d32fc,39788,5457,37.846,,35.006,0.546907783,0.370486562,0.045009491,0.00168848,0.01417724,0.002817464,0.017414327,0.001498651,15.114,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Micropolitan adjacent to a large metro area,Federal/State government-dependent,0.433,0.081,0.217,0.072,0.325,0.347,0.124,0.101,0.152,0.296,11.33008699,6.18,12,304,2889,1840,0.511,0.225,0.144,0.161838162,0.300699301,0.344655345,0.192807193,13.18836203,9.71509111
29,a0b1eb5,08f8fb4,9472,869,22.716,3,33.62,0.959305502,0.001698501,0.015693753,0.001390586,0,0,0.021911658,0,20.485,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore adjacent to micro area and does not contain a town of at least 2,500 residents",Recreation,0.389,0.089,0.279,0.121,0.293,,0.119,0.07,,0.321,10.80626243,,25.65,307,4860,4790,0.493,0.197,0.251,0.166666667,0.439759036,0.265060241,0.128514056,9.47567909,14.42408928
30,b946ff5,1dcfd4e,14543,1961,31.362,,29.772,0.53148333,0.017298862,0.420243562,0.010371332,0.00682771,0.000499102,0.011379517,0.001896586,8.455,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and contains a town of 2,500  or more residents",Nonspecialized,0.459,0.074,0.223,0.113,0.243,0.3,0.075,0.109,0.156,0.217,12.93139253,10.86,30.93,256,2239,2140,0.486,0.201,0.194,0.157370518,0.282868526,0.389442231,0.170318725,8.429038036,11.44944333
31,ae4dd4b,b795815,10591,999,26.133,1,21.008,0.539934915,0.016090476,0.432574677,0.001004399,0.001406159,0.002410558,0.006578815,0,9.762,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area","Noncore adjacent to micro area and contains a town of 2,500-19,999 residents",Manufacturing-dependent,0.53,0.03,0.263,0.107,0.341,0.169,0.08,0.05,0.181,0.293,10.75474892,,29.31,211,5379,5300,0.482,0.299,0.131,0.281124498,0.332329317,0.253012048,0.133534137,17.53967876,8.197893332
32,49e4d3b,8036085,1043,125,25.425,-1,17.492,0.971436279,0,0.005724733,0.020920753,0,0,0.001918235,0,7.59,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and does not contain a town of at least 2,500 residents",Farm-dependent,0.578,0.027,0.356,0.266,0.241,0.199,0.079,,,0.292,10.70357671,,,192,,,0.499,0.239,0.216,0.078763709,0.444666002,0.328015952,0.148554337,5.428460644,6.979449399
33,678b4b5,9d0874a,167030,15268,26.631,1469,28.706,0.682910315,0.234981928,0.049866075,0.000796583,0.013253144,9.96E-05,0.016698364,0.00139402,6.925,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Nonspecialized,0.476,0.054,0.217,0.085,0.327,0.234,0.109,0.081,0.119,0.302,12.49422467,3.04,20.71,304,2870,3899,0.509,0.273,0.109,0.112449799,0.299196787,0.365461847,0.222891566,11.90967514,7.346264961
34,a310b65,528ea9f,29589,3878,34.542,,29.974,0.863403334,0.069114166,0.030669285,0.000402881,0.008118044,0,0.027788689,0.000503601,11.562,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area",Micropolitan not adjacent to a metro area,Nonspecialized,0.417,0.07,0.195,0.061,0.305,0.211,0.123,0.091,,0.285,13.21084149,,16.27,258,1540,1050,0.516,0.211,0.171,0.143426295,0.349601594,0.280876494,0.226095618,11.44203264,10.43244153
35,bc192e7,7dd3518,3302,276,46.884,,22.064,0.149207997,0.091357335,0.121380591,0.291099821,0.304264939,0.011079061,0.031610257,0,12.714,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and does not contain a town of at least 2,500 residents",Manufacturing-dependent,0.678,0.045,0.49,0.281,0.322,0.383,0.078,,0.396,0.312,,,,149,4900,,0.324,0.102,0.063,0.185,0.391,0.284,0.14,5.456198848,2.728099424
36,5e544b9,528ea9f,60011,7302,30.503,151,28.536,0.959407204,0.00865076,0.014182065,0.002690905,0.005630967,0,0.008740457,0.000697642,18.997,"Nonmetro - Urban population of 20,000 or more, not adjacent to a metro area",Micropolitan not adjacent to a metro area,Nonspecialized,0.403,0.076,0.238,0.065,0.326,0.296,0.118,0.08,0.093,0.331,13.08033022,5.96,24.56,332,2499,2280,0.507,0.239,0.138,0.239800995,0.378109453,0.260696517,0.121393035,11.48628908,9.466171376
37,cef221b,e2f94fa,6179,593,21.55,1,21.684,0.917265936,0.003979613,0.064671208,0.003480915,0.002573284,0,0.008029044,0,5.383,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area","Noncore adjacent to micro area and contains a town of 2,500-19,999 residents",Farm-dependent,0.56,0.033,0.159,0.066,0.296,,0.087,0.04,,0.278,12.49844849,,24.8,308,6290,3170,0.493,0.225,0.206,0.142284569,0.373747495,0.308617234,0.175350701,12.25905315,10.48471651
38,9d68ed9,9e0007d,7940,1028,34.115,,26.498,0.537051038,0.408917249,0.028215441,0.000403222,0.022610659,0,0.002802391,0,10.757,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",Nonspecialized,0.37,0.093,0.259,0.055,0.331,,0.137,0.15,,0.361,11.76566224,17.02,36.44,384,4190,1609,0.51,0.234,0.192,0.169338677,0.503006012,0.195390782,0.132264529,8.430733857,13.66800792
39,f59fa79,c479f0c,21758,2017,23.901,-1,29.654,0.863018733,0.08737758,0.022537198,0.002969864,0.004390234,0,0.018107233,0.001599158,11.656,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",Federal/State government-dependent,0.412,0.085,0.167,0.039,0.286,,0.094,0.09,,0.272,12.57967239,,17.76,263,3499,2020,0.455,0.201,0.163,0.140298507,0.383084577,0.342288557,0.134328358,10.48498845,11.13163972
40,7c450d1,4522abc,20981,2437,29.936,63,32.96,0.436677254,0.526178063,0.021613631,0,0.005203652,0,0.009927888,0.000399513,20.612,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area","Noncore adjacent to micro area and contains a town of 2,500-19,999 residents",Federal/State government-dependent,0.37,0.081,0.26,0.083,0.344,0.263,0.148,0.119,,0.276,12.91907717,,24.52,323,5690,1239,0.493,0.23,0.147,0.221556886,0.413173653,0.235528942,0.129740519,12.45275705,10.32076752
41,e043b4f,1b0d913,725489,97063,35.276,2268,28.412,0.619151513,0.087420811,0.190063952,0.002822286,0.072388635,0.000710576,0.025340526,0.002101702,5.893,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Nonspecialized,0.549,0.044,0.207,0.106,0.297,0.101,0.084,0.07,0.134,0.214,9.697625674,1.54,7.03,210,2050,1900,0.512,0.272,0.078,0.081570997,0.194360524,0.312185297,0.411883182,13.14156621,4.240086098
42,b7c2cc1,485e9af,16633,1716,30.057,,37.132,0.46251221,0.499850487,0.013575743,0.003488627,0.000299025,0.000299025,0.019974882,0,21.64,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",Mining-dependent,0.388,0.074,0.269,0.069,0.358,0.224,0.15,0.14,0.12,0.34,11.30158557,,18.23,341,4929,2410,0.444,0.187,0.17,0.236526946,0.409181637,0.226546906,0.127744511,11.14341085,11.50678295
43,e3e9623,dc9ae72,6300,829,27.182,1,24.212,0.962002196,0.003673021,0.018754367,0.005888811,0.006976744,0,0.002704861,0,5.291,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and contains a town of 2,500  or more residents",Nonspecialized,0.616,0.033,0.152,0.066,0.29,0.141,0.108,0.069,0.125,0.28,11.09634164,,21.26,256,2199,1250,0.494,0.216,0.218,0.049850449,0.337986042,0.353938185,0.258225324,12.06253472,13.64971034
44,a02a8b1,842bd12,37621,6097,52.671,9,44.984,0.897300723,0.006670221,0.066772639,0.000100607,0.011167339,0.002495045,0.015292212,0.000201213,28.582,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Micropolitan adjacent to a small metro area,Nonspecialized,0.499,0.032,0.193,0.106,0.26,0.031,0.059,0.05,0.032,0.212,9.69928857,,7.88,253,2020,1800,0.512,0.265,0.058,0.046138415,0.159478435,0.447342026,0.347041123,29.0349,3.276003276
45,2a20ac7,20d32fc,325767,58865,47.201,3815,30.294,0.453680541,0.354119574,0.107025528,0.013341772,0.023749962,0.002310699,0.042557039,0.003214885,14.322,"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Nonspecialized,0.39,0.081,0.212,0.06,0.336,0.222,0.121,0.1,0.113,0.305,12.28131027,8.52,17.66,284,1200,1320,0.512,0.262,0.101,0.099700897,0.261216351,0.404785643,0.234297109,18.11513755,7.304243965
46,dc0571b,4522abc,7306,1135,39.341,0,29.593,0.334105131,0.621762692,0.012385353,0,0.020958293,0,0.010788531,0,25.103,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",Nonspecialized,0.375,0.097,0.273,0.078,0.368,,0.161,0.161,,0.35,12.6366477,,21.19,344,7609,3769,0.535,0.22,0.197,0.269192423,0.353938185,0.229312064,0.147557328,11.19557706,12.57774706
47,426bbb1,a952566,98922,20310,46.317,1723,28.886,0.606657262,0.275855169,0.058858841,0.000800392,0.024622065,0.001210593,0.029814609,0.002181069,16.137,"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Nonspecialized,0.501,0.059,0.225,0.062,0.353,0.264,0.108,0.109,0.13,0.255,12.86118075,10.35,8.9,340,1839,1379,0.522,0.22,0.144,0.155310621,0.304609218,0.303607214,0.236472946,14.12947832,11.74607165
48,b9b919f,528ea9f,15803,1726,21.925,6,30.452,0.977550217,0.00151483,0.006816736,0.000403955,0.00570586,0,0.008008402,0,18.026,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro and does not contain a town of at least 2,500 residents",Nonspecialized,0.332,0.097,0.227,0.063,0.369,0.337,0.146,0.15,,0.344,13.09836811,,37.06,400,5310,1600,0.505,0.233,0.147,0.22754491,0.414171657,0.240518962,0.117764471,13.98469243,11.77989858
49,f730f25,20d32fc,212219,38403,42.72,1474,31.974,0.767725672,0.142225512,0.053917254,0.003831226,0.013554337,0.000400128,0.016935419,0.001410451,11.493,"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Recreation,0.514,0.059,0.229,0.073,0.257,0.181,0.105,0.091,0.182,0.211,11.81534829,5.34,10.26,242,1439,1130,0.515,0.197,0.148,0.081918082,0.221778222,0.324675325,0.371628372,10.73534307,8.160909106
50,9a12bc7,9e0007d,11143,1188,24.243,,26.851,0.87710426,0.031368528,0.065693721,0.00150322,0.004977551,0,0.018665817,0.000686902,15.958,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore adjacent to micro area and does not contain a town of at least 2,500 residents",Nonspecialized,0.375,0.075,0.309,0.085,0.336,0.205,0.124,0.079,,0.281,11.20608302,,20.28,340,2859,2810,0.499,0.241,0.176,0.184738956,0.355421687,0.313253012,0.146586345,9.399855387,14.09978308
51,045f485,4522abc,18303,1725,22.479,,33.359,0.884327431,0.026129234,0.06299651,0.003201527,0.012766338,0,0.009982402,0.000596558,11.382,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",Nonspecialized,0.445,0.066,0.292,0.125,0.279,0.276,0.108,0.1,,0.272,13.41043673,,26.2,290,18320,9120,0.49,0.242,0.143,0.219438878,0.452905812,0.215430862,0.112224449,11.48074242,7.708498483
52,2203777,698ab34,38010,3951,26.855,297,31.8,0.56526424,0.378106574,0.029781205,0.007712185,0.000399078,0.010266285,0.008071355,0.000399078,17.608,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",Nonspecialized,0.442,0.076,0.277,0.098,0.367,0.242,0.161,0.109,0.105,0.315,12.47247088,14.73,38.77,326,4280,1930,0.519,0.237,0.173,0.178642715,0.378243513,0.30239521,0.140718563,11.59727279,13.84788509
